"period","starting_customers","new_customers","departed_customers","ending_customers","retention_rate"
"2016-09 to 2016-11","0","325","0","325",NULL
"2016-12 to 2017-02","325","2503","316","2512","2.8"
"2017-03 to 2017-05","2828","8197","2684","8341","5.1"
"2017-05 to 2017-08","11025","11152","10590","11587","3.9"
"2017-08 to 2017-11","22177","15780","21455","16502","3.3"
"2017-11 to 2018-02","37957","19537","36894","20600","2.8"
"2018-03 to 2018-05","57494","19892","56510","20876","1.7"
"2018-05 to 2018-08","77386","18667","76795","19258","0.8"
"2018-08 to 2018-11","96053","21","95996","78","0.1"
