,product_category_name_english,price,count,percent,cumsum_percent,ABC
0,health_beauty,1258681.34,9670.0,9.2628116672055,9.2628116672055,A
1,watches_gifts,1204727.68,5989.0,8.865759152439182,18.128570819644683,A
2,bed_bath_table,1036854.6900000001,11115.0,7.63035838739672,25.758929207041405,A
3,sports_leisure,987800.99,8639.0,7.269365362204498,33.0282945692459,A
4,computers_accessories,911843.33,7827.0,6.710382340130278,39.73867690937618,A
5,furniture_decor,729327.89,8331.0,5.367225741751577,45.10590265112776,A
6,cool_stuff,635050.88,3793.0,4.673428066021158,49.779330717148916,A
7,housewares,632248.66,6964.0,4.652806137908618,54.432136855057536,A
8,auto,592602.81,4234.0,4.361046794009646,58.79318364906718,A
9,garden_tools,485121.46,4347.0,3.5700765371637,62.36326018623088,A
10,toys,483757.61,4116.0,3.5600397746481627,65.92329996087905,A
11,baby,409830.89,3064.0,3.016002723511587,68.93930268439064,A
12,perfumery,399124.87,3419.0,2.937215627990384,71.87651831238102,A
13,telephony,323569.52999999997,4543.0,2.3811933349517993,74.25771164733283,A
14,office_furniture,273960.7,1691.0,2.016115030604796,76.27382667793762,A
15,stationery,230943.23,2517.0,1.6995434645167007,77.97337014245431,A
16,computers,222963.13,203.0,1.640816794758121,79.61418693721244,A
17,pet_shop,214315.41,1947.0,1.5771770162334577,81.1913639534459,B
18,musical_instruments,191498.88,680.0,1.409266987243003,82.6006309406889,B
19,small_appliances,190338.68,678.0,1.4007289135028362,84.00135985419173,B
20,0,186933.77,1627.0,1.3756717055571106,85.37703155974884,B
21,electronics,160246.74,2767.0,1.1792781268240984,86.55630968657294,B
22,consoles_games,157465.22,1137.0,1.1588085329008537,87.7151182194738,B
23,fashion_bags_accessories,152823.54,2031.0,1.1246497618973572,88.83976798137115,B
24,construction_tools_construction,144677.59,929.0,1.0647025788395128,89.90447056021067,B
25,luggage_accessories,140429.98,1092.0,1.03344382397012,90.93791438418079,B
26,home_appliances_2,113317.74,238.0,0.8339210654964976,91.77183544967728,B
27,home_construction,83088.12,604.0,0.6114570724804506,92.38329252215773,B
28,home_appliances,80171.53,771.0,0.5899934795741992,92.97328600173194,B
29,agro_industry_and_commerce,72530.47,212.0,0.5337618524986621,93.50704785423059,B
30,furniture_living_room,68916.56,503.0,0.5071665843808154,94.0142144386114,B
31,fixed_telephony,59583.0,264.0,0.43847961356692966,94.45269405217833,B
32,home_confort,58572.04,434.0,0.4310398178176115,94.88373386999594,B
33,air_conditioning,55024.96,297.0,0.4049363609978646,95.2886702309938,C
34,audio,50688.5,364.0,0.3730237465768309,95.66169397757064,C
35,small_appliances_home_oven_and_coffee,47445.71,76.0,0.34915960233973803,96.01085357991037,C
36,books_general_interest,46810.98,552.0,0.3444885356744252,96.3553421155848,C
37,kitchen_dining_laundry_garden_furniture,46328.37,281.0,0.34093694132194985,96.69627905690676,C
38,construction_tools_lights,41080.0,304.0,0.3023134539269502,96.99859251083372,C
39,construction_tools_safety,40165.52,194.0,0.2955836679642647,97.29417617879798,C
40,industry_commerce_and_business,39340.61,267.0,0.2895130401337175,97.5836892189317,C
41,food,29393.41,510.0,0.21631020690825115,97.79999942583994,C
42,market_place,28378.47,311.0,0.20884112178340647,98.00884054762335,C
43,costruction_tools_garden,25715.89,238.0,0.18924682392175068,98.1980873715451,C
44,art,24202.64,209.0,0.17811060595303216,98.37619797749814,C
45,fashion_shoes,23562.77,262.0,0.17340171331028054,98.54959969080842,C
46,drinks,22428.7,379.0,0.16505593388732687,98.71465562469575,C
47,signaling_and_security,21509.23,199.0,0.1582894258181396,98.87294505051389,C
48,furniture_bedroom,20028.78,109.0,0.14739458762762953,99.02033963814152,C
49,books_technical,19096.06,267.0,0.14053057095901356,99.16087020910054,C
50,costruction_tools_tools,15903.95,103.0,0.11703938791581109,99.27790959701635,C
51,food_drink,15179.48,278.0,0.1117079120646315,99.38961750908098,C
52,fashion_male_clothing,10797.82,132.0,0.07946266453460324,99.46908017361558,C
53,fashion_underwear_beach,9541.55,131.0,0.07021759825503143,99.53929777187061,C
54,christmas_supplies,8800.82,153.0,0.06476646279428874,99.60406423466489,C
55,tablets_printing_image,7528.41,83.0,0.05540262000190338,99.65946685466679,C
56,cine_photo,6933.46,72.0,0.05102429990906407,99.71049115457585,C
57,music,6034.35,38.0,0.04440762392171597,99.75489877849756,C
58,dvds_blu_ray,5999.39,64.0,0.04415034840201572,99.79904912689958,C
59,books_imported,4639.85,60.0,0.03414530377806621,99.83319443067764,C
60,party_supplies,4485.18,43.0,0.03300706565930084,99.86620149633694,C
61,furniture_mattress_and_upholstery,4368.08,38.0,0.032145310414538275,99.89834680675148,C
62,fashio_female_clothing,2803.64,48.0,0.02063237809074378,99.91897918484221,C
63,fashion_sport,2119.51,30.0,0.015597769930202293,99.93457695477241,C
64,la_cuisine,2054.99,14.0,0.01512295824453124,99.94969991301694,C
65,arts_and_craftmanship,1814.01,24.0,0.013349552788656936,99.9630494658056,C
66,diapers_and_hygiene,1567.59,39.0,0.011536113613470005,99.97458557941907,C
67,flowers,1110.04,33.0,0.008168939298857638,99.98275451871793,C
68,home_comfort_2,760.27,30.0,0.0055949330481266405,99.98834945176606,C
69,cds_dvds_musicals,730.0,14.0,0.005372171893054373,99.99372162365911,C
70,fashion_childrens_clothes,569.85,8.0,0.0041936056893931975,99.99791522934851,C
71,security_and_services,283.28999999999996,2.0,0.0020847706514840725,99.99999999999999,C
