,product_category_name_english,mean_quantity_per_month,std_deviation,variation,XYZ
62,security_and_services,1.0,0.0,0.0,X
64,small_appliances,33.9,13.07025550428791,38.55532597135077,Z
30,fashion_childrens_clothes,1.3333333333333333,0.5163977794943223,38.729833462074176,Z
48,home_confort,22.842105263157894,8.96451744933408,39.2455833035363,Z
2,air_conditioning,14.142857142857142,6.02731875949592,42.617405370173174,Z
55,market_place,14.80952380952381,6.384505052226427,43.11080581889227,Z
35,fixed_telephony,12.571428571428571,5.455010802660508,43.3921313847995,Z
54,luggage_accessories,54.6,24.57726805939094,45.013311464085966,Z
41,furniture_living_room,25.15,11.572540093277981,46.01407591760629,Z
40,furniture_decor,378.6363636363636,188.11661668194407,49.682659867980426,Z
29,fashion_bags_accessories,92.31818181818181,46.40749771487193,50.269076796020805,Z
60,perfumery,155.4090909090909,82.12572190936405,52.84486346902629,Z
21,cool_stuff,172.4090909090909,92.30315430348138,53.53728960391749,Z
57,musical_instruments,34.0,18.28142571890358,53.76889917324582,Z
66,sports_leisure,392.6363636363636,218.45857086904874,55.63890436581469,Z
5,audio,18.2,10.13903348450926,55.70897518961132,Z
8,bed_bath_table,505.1818181818182,282.8274985559112,55.98528853905026,Z
28,fashio_female_clothing,2.6666666666666665,1.4950900031928038,56.065875119730144,Z
38,food_drink,15.444444444444445,8.705794028875403,56.36845054667526,Z
58,office_furniture,80.52380952380952,45.45395367580146,56.447843121929665,Z
53,la_cuisine,1.5555555555555556,0.881917103688197,56.69467095138408,Z
17,consoles_games,54.142857142857146,31.572592092328616,58.31349462963069,Z
23,costruction_tools_tools,7.923076923076923,4.627121827903001,58.40056675994079,Z
12,cds_dvds_musicals,2.8,1.6431676725154984,58.68455973269637,Z
26,dvds_blu_ray,3.3684210526315788,2.0058394284851158,59.548358033151885,Z
7,baby,139.27272727272728,84.79060023048478,60.880979277763224,Z
69,telephony,197.52173913043478,120.3233785056743,60.91652444707262,Z
43,garden_tools,197.54545454545453,120.51742702385502,61.00744119937438,Z
68,tablets_printing_image,5.1875,3.187867625859016,61.45286989607741,Z
32,fashion_shoes,12.476190476190476,7.730582433549542,61.96268362768716,Z
22,costruction_tools_garden,12.526315789473685,7.918813190067139,63.21741622322505,Z
31,fashion_male_clothing,6.6,4.185186910244775,63.4119228824966,Z
0,0,77.47619047619048,49.823306842901395,64.30789451142773,Z
46,home_appliances_2,11.9,7.677033418271876,64.51288586783089,Z
50,housewares,316.3636363636364,204.1583291874798,64.53280520293902,Z
47,home_comfort_2,2.3076923076923075,1.4935759876113537,64.72162612982532,Z
24,diapers_and_hygiene,4.333333333333333,2.82842712474619,65.27139518645055,Z
61,pet_shop,88.5,58.56518549770804,66.17535084486784,Z
9,books_general_interest,25.09090909090909,16.681638297153437,66.48479031474196,Z
70,toys,187.0909090909091,125.72642601750117,67.20071361479654,Z
52,kitchen_dining_laundry_garden_furniture,14.05,9.444993104118293,67.22415020724763,Z
6,auto,192.45454545454547,130.1313355889522,67.61665996591752,Z
44,health_beauty,420.4347826086956,292.46255799005615,69.56193209691098,Z
16,computers_accessories,355.72727272727275,248.27388521131675,69.79332321299474,Z
34,fashion_underwear_beach,6.55,4.729248299009496,72.20226410701521,Z
45,home_appliances,40.578947368421055,29.682235221076233,73.1468831647793,Z
10,books_imported,4.0,2.9277002188455996,73.19250547114,Z
13,christmas_supplies,10.2,7.551726387295254,74.036533208777,Z
71,watches_gifts,272.22727272727275,204.22371762316646,75.01956566554787,Z
20,construction_tools_safety,13.785714285714286,10.562477648067903,76.6190088460884,Z
36,flowers,3.6666666666666665,2.8284271247461903,77.13892158398701,Z
56,music,2.533333333333333,1.9591057240729095,77.33312068708854,Z
63,signaling_and_security,11.705882352941176,9.149895531386909,78.16493670029018,Z
67,stationery,119.85714285714286,95.2387976164576,79.46026022827213,Z
33,fashion_sport,2.142857142857143,1.7032612545052803,79.48552521024642,Z
25,drinks,22.294117647058822,17.782592281084728,79.76360653784707,Z
1,agro_industry_and_commerce,11.777777777777779,9.674439066004295,82.14146376796099,Z
39,furniture_bedroom,5.7368421052631575,4.79400210057848,83.56517423026708,Z
27,electronics,125.77272727272727,108.35828217546324,86.15403714709763,Z
49,home_construction,31.789473684210527,27.84197260605813,87.58236415812986,Z
42,furniture_mattress_and_upholstery,3.4545454545454546,3.205109557055308,92.7794871779168,Z
3,art,11.61111111111111,10.955196934299313,94.35097838152518,Z
65,small_appliances_home_oven_and_coffee,6.909090909090909,6.685125959240341,96.7584020416365,Z
18,construction_tools_construction,51.611111111111114,53.79715593716925,104.23560892024182,Z
59,party_supplies,3.3076923076923075,3.4972516682059402,105.73086438762145,Z
15,computers,15.615384615384615,16.869787894035408,108.03312444456172,Z
19,construction_tools_lights,21.714285714285715,23.463321856196586,108.05477170616848,Z
14,cine_photo,4.8,5.212622043792219,108.59629257900458,Z
51,industry_commerce_and_business,14.833333333333334,16.20911145367466,109.27490867645837,Z
11,books_technical,14.052631578947368,15.65770553721261,111.42187460937814,Z
37,food,25.5,28.98910866261037,113.68277906906027,Z
4,arts_and_craftmanship,4.0,4.8166378315169185,120.41594578792296,Z
