,product_category_name_english,price,count,percent,cumsum_percent,ABC,mean_quantity_per_month,std_deviation,variation,XYZ
0,0,186933.77,1627.0,1.3756717055571106,85.37703155974884,B,77.47619047619048,49.823306842901395,64.30789451142773,Z
1,agro_industry_and_commerce,72530.47,212.0,0.5337618524986621,93.50704785423059,B,11.777777777777779,9.674439066004295,82.14146376796099,Z
2,air_conditioning,55024.96,297.0,0.4049363609978646,95.2886702309938,C,14.142857142857142,6.02731875949592,42.617405370173174,Z
3,art,24202.64,209.0,0.17811060595303216,98.37619797749814,C,11.61111111111111,10.955196934299313,94.35097838152518,Z
4,arts_and_craftmanship,1814.01,24.0,0.013349552788656936,99.9630494658056,C,4.0,4.8166378315169185,120.41594578792296,Z
5,audio,50688.5,364.0,0.3730237465768309,95.66169397757064,C,18.2,10.13903348450926,55.70897518961132,Z
6,auto,592602.81,4234.0,4.361046794009646,58.79318364906718,A,192.45454545454547,130.1313355889522,67.61665996591752,Z
7,baby,409830.89,3064.0,3.016002723511587,68.93930268439064,A,139.27272727272728,84.79060023048478,60.880979277763224,Z
8,bed_bath_table,1036854.6900000001,11115.0,7.63035838739672,25.758929207041405,A,505.1818181818182,282.8274985559112,55.98528853905026,Z
9,books_general_interest,46810.98,552.0,0.3444885356744252,96.3553421155848,C,25.09090909090909,16.681638297153437,66.48479031474196,Z
10,books_imported,4639.85,60.0,0.03414530377806621,99.83319443067764,C,4.0,2.9277002188455996,73.19250547114,Z
11,books_technical,19096.06,267.0,0.14053057095901356,99.16087020910054,C,14.052631578947368,15.65770553721261,111.42187460937814,Z
12,cds_dvds_musicals,730.0,14.0,0.005372171893054373,99.99372162365911,C,2.8,1.6431676725154984,58.68455973269637,Z
13,christmas_supplies,8800.82,153.0,0.06476646279428874,99.60406423466489,C,10.2,7.551726387295254,74.036533208777,Z
14,cine_photo,6933.46,72.0,0.05102429990906407,99.71049115457585,C,4.8,5.212622043792219,108.59629257900458,Z
15,computers,222963.13,203.0,1.640816794758121,79.61418693721244,A,15.615384615384615,16.869787894035408,108.03312444456172,Z
16,computers_accessories,911843.33,7827.0,6.710382340130278,39.73867690937618,A,355.72727272727275,248.27388521131675,69.79332321299474,Z
17,consoles_games,157465.22,1137.0,1.1588085329008537,87.7151182194738,B,54.142857142857146,31.572592092328616,58.31349462963069,Z
18,construction_tools_construction,144677.59,929.0,1.0647025788395128,89.90447056021067,B,51.611111111111114,53.79715593716925,104.23560892024182,Z
19,construction_tools_lights,41080.0,304.0,0.3023134539269502,96.99859251083372,C,21.714285714285715,23.463321856196586,108.05477170616848,Z
20,construction_tools_safety,40165.52,194.0,0.2955836679642647,97.29417617879798,C,13.785714285714286,10.562477648067903,76.6190088460884,Z
21,cool_stuff,635050.88,3793.0,4.673428066021158,49.779330717148916,A,172.4090909090909,92.30315430348138,53.53728960391749,Z
22,costruction_tools_garden,25715.89,238.0,0.18924682392175068,98.1980873715451,C,12.526315789473685,7.918813190067139,63.21741622322505,Z
23,costruction_tools_tools,15903.95,103.0,0.11703938791581109,99.27790959701635,C,7.923076923076923,4.627121827903001,58.40056675994079,Z
24,diapers_and_hygiene,1567.59,39.0,0.011536113613470005,99.97458557941907,C,4.333333333333333,2.82842712474619,65.27139518645055,Z
25,drinks,22428.7,379.0,0.16505593388732687,98.71465562469575,C,22.294117647058822,17.782592281084728,79.76360653784707,Z
26,dvds_blu_ray,5999.39,64.0,0.04415034840201572,99.79904912689958,C,3.3684210526315788,2.0058394284851158,59.548358033151885,Z
27,electronics,160246.74,2767.0,1.1792781268240984,86.55630968657294,B,125.77272727272727,108.35828217546324,86.15403714709763,Z
28,fashio_female_clothing,2803.64,48.0,0.02063237809074378,99.91897918484221,C,2.6666666666666665,1.4950900031928038,56.065875119730144,Z
29,fashion_bags_accessories,152823.54,2031.0,1.1246497618973572,88.83976798137115,B,92.31818181818181,46.40749771487193,50.269076796020805,Z
30,fashion_childrens_clothes,569.85,8.0,0.0041936056893931975,99.99791522934851,C,1.3333333333333333,0.5163977794943223,38.729833462074176,Z
31,fashion_male_clothing,10797.82,132.0,0.07946266453460324,99.46908017361558,C,6.6,4.185186910244775,63.4119228824966,Z
32,fashion_shoes,23562.77,262.0,0.17340171331028054,98.54959969080842,C,12.476190476190476,7.730582433549542,61.96268362768716,Z
33,fashion_sport,2119.51,30.0,0.015597769930202293,99.93457695477241,C,2.142857142857143,1.7032612545052803,79.48552521024642,Z
34,fashion_underwear_beach,9541.55,131.0,0.07021759825503143,99.53929777187061,C,6.55,4.729248299009496,72.20226410701521,Z
35,fixed_telephony,59583.0,264.0,0.43847961356692966,94.45269405217833,B,12.571428571428571,5.455010802660508,43.3921313847995,Z
36,flowers,1110.04,33.0,0.008168939298857638,99.98275451871793,C,3.6666666666666665,2.8284271247461903,77.13892158398701,Z
37,food,29393.41,510.0,0.21631020690825115,97.79999942583994,C,25.5,28.98910866261037,113.68277906906027,Z
38,food_drink,15179.48,278.0,0.1117079120646315,99.38961750908098,C,15.444444444444445,8.705794028875403,56.36845054667526,Z
39,furniture_bedroom,20028.78,109.0,0.14739458762762953,99.02033963814152,C,5.7368421052631575,4.79400210057848,83.56517423026708,Z
40,furniture_decor,729327.89,8331.0,5.367225741751577,45.10590265112776,A,378.6363636363636,188.11661668194407,49.682659867980426,Z
41,furniture_living_room,68916.56,503.0,0.5071665843808154,94.0142144386114,B,25.15,11.572540093277981,46.01407591760629,Z
